vertex,score
918,2.3791006471764143E-4
919,2.7035112607435213E-4
920,2.295357888065219E-4
921,1.111537008541254E-4
922,1.1650537475027279E-4
923,2.738867783997308E-4
924,2.932063639261881E-4
925,3.016609870871059E-4
926,2.1260566651240667E-4
927,3.0621983625053756E-4
928,2.0386693546966666E-4
929,2.1403034047878057E-4
930,2.7449234067199803E-4
931,2.3617624392001087E-4
932,1.9724825560975306E-4
933,4.7786210447411833E-4
934,2.841533297995046E-4
935,1.0086521277355232E-4
936,2.4411309608412645E-4
937,1.559017195843565E-4
938,3.1381387441137233E-4
939,2.6220544146137646E-4
940,2.03203394532356E-4
941,2.9385793108647763E-4
942,2.5691648032537875E-4
943,2.4864536623116603E-4
944,1.4569106687159177E-4
945,1.2420283956117765E-4
946,2.0849091571739398E-4
947,2.7949002884891476E-4
948,2.4535428039788295E-4
949,2.539019456003825E-4
950,1.6902032059933623E-4
951,3.362145507063339E-4
952,3.90153604576088E-4
953,1.7904170534121047E-4
954,1.9019185132644715E-4
955,2.793487753524559E-4
956,1.7911193897895988E-4
957,1.3109324406937136E-4
958,3.11147106850187E-4
959,1.5227450209975537E-4
960,2.6418101665234026E-4
961,4.0366570040890605E-4
962,1.1294718185286718E-4
963,1.4332849183549737E-4
964,3.0389319580057466E-4
965,2.578633605024384E-4
966,2.8324319430771095E-4
967,1.8298835816439384E-4
968,2.827080063598281E-4
969,1.620893922549311E-4
970,1.2488629686554806E-4
971,2.0900637932496377E-4
972,6.163774807094245E-4
973,2.1025972623064324E-4
974,3.6360437443604647E-4
975,4.0806242471120446E-4
976,2.732108406313898E-4
977,3.7503862110367577E-4
978,2.2822787472158955E-4
979,1.5157398076835423E-4
980,2.9971194297012823E-4
981,1.570995969284907E-4
982,2.746023257964729E-4
983,3.2966683360474296E-4
984,2.897473038608245E-4
985,1.5693534970951346E-4
986,2.3844883181235754E-4
987,3.282696619847111E-4
988,1.8251379128720523E-4
989,2.494908519053689E-4
990,1.295042094835823E-4
991,9.593230336965279E-5
992,2.625780490533114E-4
993,1.93135327800632E-4
994,1.8080750630124768E-4
995,2.9225345479159416E-4
996,1.1569928720335972E-4
997,2.75639274315047E-4
998,3.107092819045295E-4
999,1.288484008701427E-4
1000,1.5708472321083634E-4
1001,2.3087250884978525E-4
1002,3.362605216976977E-4
1003,4.914083118871972E-4
1004,1.281235595795124E-4
1005,2.5061401329819536E-4
1006,1.3439425028775106E-4
1007,2.1868206141731377E-4
1008,2.4760822945070607E-4
1009,1.2605981794341496E-4
1010,1.0865177588012366E-4
1011,1.3069253000524874E-4
1012,3.7500000000000003E-5
1013,5.521392971742096E-5
1014,4.283675033178074E-4
1015,2.0956891575475234E-4
1016,3.3373392736012056E-4
1017,2.3943140016286987E-4
1018,1.25432534541053E-4
1019,3.3338054228881664E-4
1020,3.796448709385421E-4
1021,4.226619886049868E-4
1022,1.528698893888245E-4
1023,4.415586129826131E-4
1024,2.281759366744278E-4
1025,3.703632869522633E-4
1026,1.0046218051607946E-4
